"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2022年01月27日","26,170.30","27,139.88","27,193.59","26,044.52","887.38M","-3.11%"
"2022年01月26日","27,011.33","27,105.98","27,184.54","26,858.68","604.68M","-0.44%"
"2022年01月25日","27,131.34","27,466.82","27,493.75","26,890.94","769.68M","-1.66%"
"2022年01月24日","27,588.37","27,258.45","27,627.60","27,203.33","610.19M","0.24%"
"2022年01月21日","27,522.26","27,404.36","27,586.42","27,129.61","727.50M","-0.90%"
"2022年01月20日","27,772.93","27,401.43","27,882.53","27,217.59","740.21M","1.11%"
"2022年01月19日","27,467.23","27,928.89","27,958.17","27,314.41","842.98M","-2.80%"
"2022年01月18日","28,257.25","28,451.34","28,690.34","28,129.66","713.13M","-0.27%"
"2022年01月17日","28,333.52","28,332.72","28,449.99","28,274.18","544.80M","0.74%"
"2022年01月14日","28,124.28","28,246.99","28,252.96","27,889.21","820.67M","-1.28%"
"2022年01月13日","28,489.13","28,658.22","28,660.45","28,444.96","698.81M","-0.96%"
"2022年01月12日","28,765.66","28,449.53","28,814.31","28,427.60","725.48M","1.92%"
"2022年01月11日","28,222.48","28,380.90","28,473.47","28,089.49","737.06M","-0.90%"
"2022年01月07日","28,478.56","28,711.53","28,813.09","28,293.70","751.71M","-0.03%"
"2022年01月06日","28,487.87","29,136.75","29,158.95","28,487.87","715.91M","-2.88%"
"2022年01月05日","29,332.16","29,288.80","29,388.16","29,204.45","786.26M","0.10%"
"2022年01月04日","29,301.79","29,098.41","29,323.79","28,954.56","660.37M","1.77%"
"2021年12月30日","28,791.71","28,794.24","28,904.42","28,579.49","403.89M","-0.40%"
"2021年12月29日","28,906.88","28,995.73","29,106.28","28,729.61","447.11M","-0.56%"
"2021年12月28日","29,069.16","28,953.32","29,121.01","28,879.68","470.40M","1.37%"
"2021年12月27日","28,676.46","28,786.33","28,805.28","28,658.82","374.87M","-0.37%"
"2021年12月24日","28,782.59","28,836.05","28,870.13","28,773.50","359.09M","-0.05%"
"2021年12月23日","28,798.37","28,703.01","28,798.37","28,640.15","435.64M","0.83%"
"2021年12月22日","28,562.21","28,614.06","28,673.77","28,473.85","446.53M","0.16%"
"2021年12月21日","28,517.59","28,309.60","28,533.74","28,226.43","557.82M","2.08%"
"2021年12月20日","27,937.81","28,325.46","28,441.51","27,893.18","651.77M","-2.13%"
"2021年12月17日","28,545.68","28,854.60","28,904.94","28,503.08","844.50M","-1.79%"
"2021年12月16日","29,066.32","28,868.37","29,070.08","28,782.19","602.66M","2.13%"
"2021年12月15日","28,459.72","28,358.47","28,525.83","28,358.47","558.78M","0.10%"
"2021年12月14日","28,432.64","28,554.86","28,672.96","28,309.67","552.50M","-0.73%"
"2021年12月13日","28,640.49","28,705.26","28,793.32","28,593.45","535.38M","0.71%"
"2021年12月10日","28,437.77","28,542.50","28,699.01","28,392.87","633.62M","-1.00%"
"2021年12月09日","28,725.47","28,827.32","28,908.29","28,725.47","543.77M","-0.47%"
"2021年12月08日","28,860.62","28,792.89","28,897.44","28,621.47","719.88M","1.42%"
"2021年12月07日","28,455.60","28,138.82","28,618.46","27,961.66","782.69M","1.89%"
"2021年12月06日","27,927.37","28,069.96","28,081.04","27,693.91","616.86M","-0.36%"
"2021年12月03日","28,029.57","27,841.05","28,029.57","27,588.61","719.09M","1.00%"
"2021年12月02日","27,753.37","27,716.20","27,938.55","27,644.96","774.20M","-0.65%"
"2021年12月01日","27,935.62","27,866.73","28,106.30","27,594.01","808.76M","0.41%"
"2021年11月30日","27,821.76","28,611.73","28,718.70","27,819.14","1.41B","-1.63%"
"2021年11月29日","28,283.92","28,337.96","28,776.34","28,187.12","859.12M","-1.63%"
"2021年11月26日","28,751.62","29,324.47","29,332.99","28,605.61","728.75M","-2.53%"
"2021年11月25日","29,499.28","29,469.65","29,570.42","29,444.45","507.12M","0.67%"
"2021年11月24日","29,302.66","29,663.45","29,758.05","29,212.93","695.30M","-1.58%"
"2021年11月22日","29,774.11","29,618.55","29,806.49","29,542.29","587.71M","0.09%"
"2021年11月19日","29,745.87","29,641.05","29,768.54","29,589.19","655.73M","0.50%"
"2021年11月18日","29,598.66","29,597.93","29,715.95","29,402.57","654.09M","-0.30%"
"2021年11月17日","29,688.33","29,906.68","29,909.97","29,623.79","639.04M","-0.40%"
"2021年11月16日","29,808.12","29,749.71","29,960.93","29,681.25","619.85M","0.11%"
"2021年11月15日","29,776.80","29,807.37","29,861.88","29,718.21","604.25M","0.56%"
"2021年11月12日","29,609.97","29,381.45","29,661.22","29,381.45","684.04M","1.13%"
"2021年11月11日","29,277.86","29,046.19","29,336.03","29,040.08","605.68M","0.59%"
"2021年11月10日","29,106.78","29,209.06","29,296.88","29,079.77","638.90M","-0.61%"
"2021年11月09日","29,285.46","29,557.55","29,750.46","29,240.31","650.45M","-0.75%"
"2021年11月08日","29,507.05","29,735.45","29,735.45","29,507.05","683.47M","-0.35%"
"2021年11月05日","29,611.57","29,840.73","29,840.73","29,504.07","735.08M","-0.61%"
"2021年11月04日","29,794.37","29,859.74","29,880.81","29,718.78","904.00M","0.93%"
"2021年11月02日","29,520.90","29,462.40","29,599.57","29,457.18","711.16M","-0.43%"
"2021年11月01日","29,647.08","29,330.68","29,666.83","29,267.63","767.31M","2.61%"
"2021年10月29日","28,892.69","28,819.16","29,000.65","28,475.06","1.04B","0.25%"
"2021年10月28日","28,820.09","28,871.61","28,895.11","28,693.06","1.43B","-0.96%"
"2021年10月27日","29,098.24","29,056.01","29,139.22","28,870.25","705.99M","-0.03%"
"2021年10月26日","29,106.01","28,927.61","29,160.76","28,893.95","727.76M","1.77%"
"2021年10月25日","28,600.41","28,527.13","28,668.70","28,472.55","626.68M","-0.71%"
"2021年10月22日","28,804.85","28,578.53","28,989.50","28,546.57","602.06M","0.34%"
"2021年10月21日","28,708.58","29,152.74","29,220.82","28,688.78","591.46M","-1.87%"
"2021年10月20日","29,255.55","29,385.95","29,489.11","29,222.32","661.08M","0.14%"
"2021年10月19日","29,215.52","29,117.28","29,272.49","29,075.37","576.45M","0.65%"
"2021年10月18日","29,025.46","29,093.82","29,144.33","28,924.40","625.65M","-0.15%"
"2021年10月15日","29,068.63","28,787.26","29,082.35","28,726.22","663.48M","1.81%"
"2021年10月14日","28,550.93","28,264.41","28,576.68","28,234.01","647.53M","1.46%"
"2021年10月13日","28,140.28","28,085.44","28,364.99","27,993.46","639.33M","-0.32%"
"2021年10月12日","28,230.61","28,458.88","28,468.88","28,166.38","663.19M","-0.94%"
"2021年10月11日","28,498.20","27,977.57","28,581.36","27,893.32","722.98M","1.60%"
"2021年10月08日","28,048.94","28,031.37","28,321.35","28,018.89","826.66M","1.34%"
"2021年10月07日","27,678.21","27,665.97","28,015.11","27,607.97","795.51M","0.54%"
"2021年10月06日","27,528.87","28,033.91","28,209.82","27,293.62","1.00B","-1.05%"
"2021年10月05日","27,822.12","28,050.39","28,058.67","27,460.29","881.94M","-2.19%"
"2021年10月04日","28,444.89","29,044.47","29,046.06","28,343.58","764.01M","-1.13%"
"2021年10月01日","28,771.07","29,235.11","29,393.67","28,680.73","821.61M","-2.31%"
"2021年09月30日","29,452.66","29,569.19","29,622.27","29,311.34","990.27M","-0.31%"
"2021年09月29日","29,544.29","29,611.92","29,679.26","29,329.16","946.52M","-2.12%"
"2021年09月28日","30,183.96","30,142.38","30,207.63","30,001.99","898.06M","-0.19%"
"2021年09月27日","30,240.06","30,277.82","30,414.61","30,197.40","746.36M","-0.03%"
"2021年09月24日","30,248.81","30,141.61","30,276.38","30,110.30","845.85M","2.06%"
"2021年09月22日","29,639.40","29,744.73","29,868.10","29,573.88","689.91M","-0.67%"
"2021年09月21日","29,839.71","30,021.25","30,051.00","29,832.52","763.11M","-2.17%"
"2021年09月17日","30,500.05","30,387.54","30,541.99","30,358.93","978.60M","0.58%"
"2021年09月16日","30,323.34","30,606.15","30,622.39","30,202.51","698.64M","-0.62%"
"2021年09月15日","30,511.71","30,464.17","30,573.41","30,347.30","685.56M","-0.52%"
"2021年09月14日","30,670.10","30,584.77","30,795.78","30,504.81","790.95M","0.73%"
"2021年09月13日","30,447.37","30,372.02","30,447.37","30,229.01","646.30M","0.22%"
"2021年09月10日","30,381.84","30,089.45","30,381.84","30,064.02","888.24M","1.25%"
"2021年09月09日","30,008.19","29,959.21","30,097.56","29,909.92","788.05M","-0.57%"
"2021年09月08日","30,181.21","29,819.55","30,241.87","29,787.13","825.31M","0.89%"
"2021年09月07日","29,916.14","29,883.92","30,048.23","29,838.43","751.54M","0.86%"
"2021年09月06日","29,659.89","29,501.22","29,705.04","29,469.35","682.79M","1.83%"
"2021年09月03日","29,128.11","28,626.48","29,149.65","28,607.87","748.76M","2.05%"
"2021年09月02日","28,543.51","28,522.46","28,626.20","28,412.91","601.42M","0.33%"
"2021年09月01日","28,451.02","28,179.04","28,457.67","28,179.04","648.04M","1.29%"
"2021年08月31日","28,089.54","27,690.77","28,158.95","27,602.21","758.54M","1.08%"
"2021年08月30日","27,789.29","27,867.60","27,921.55","27,656.63","586.30M","0.54%"
"2021年08月27日","27,641.14","27,581.24","27,670.66","27,481.23","492.12M","-0.36%"
"2021年08月26日","27,742.29","27,793.63","27,828.28","27,684.50","484.91M","0.06%"
"2021年08月25日","27,724.80","27,768.13","27,897.72","27,684.05","514.64M","-0.03%"
"2021年08月24日","27,732.10","27,653.23","27,817.89","27,653.23","570.72M","0.87%"
"2021年08月23日","27,494.24","27,193.10","27,541.63","27,193.10","567.82M","1.78%"
"2021年08月20日","27,013.25","27,238.45","27,316.79","26,954.81","758.03M","-0.98%"
"2021年08月19日","27,281.17","27,398.58","27,504.80","27,255.58","651.28M","-1.10%"
"2021年08月18日","27,585.91","27,418.08","27,671.57","27,347.77","500.51M","0.59%"
"2021年08月17日","27,424.47","27,666.94","27,750.39","27,424.47","495.70M","-0.36%"
"2021年08月16日","27,523.19","27,806.11","27,833.21","27,427.38","571.88M","-1.62%"
"2021年08月13日","27,977.15","28,038.96","28,070.00","27,949.33","558.18M","-0.14%"
"2021年08月12日","28,015.02","28,177.20","28,279.80","28,006.31","579.36M","-0.20%"
"2021年08月11日","28,070.51","28,045.84","28,146.68","27,974.99","671.47M","0.65%"
"2021年08月10日","27,888.15","27,887.03","28,128.61","27,808.54","614.31M","0.24%"
"2021年08月06日","27,820.04","27,709.22","27,888.87","27,709.22","563.74M","0.33%"
"2021年08月05日","27,728.12","27,526.67","27,741.55","27,526.67","559.20M","0.52%"
"2021年08月04日","27,584.08","27,612.90","27,636.34","27,488.74","675.05M","-0.21%"
"2021年08月03日","27,641.83","27,580.03","27,724.45","27,492.40","579.45M","-0.50%"
"2021年08月02日","27,781.02","27,493.32","27,834.60","27,493.32","600.89M","1.82%"
"2021年07月30日","27,283.59","27,677.89","27,699.35","27,272.49","706.42M","-1.80%"
"2021年07月29日","27,782.42","27,722.61","27,798.05","27,663.41","677.83M","0.73%"
"2021年07月28日","27,581.66","27,674.99","27,809.86","27,466.99","570.86M","-1.39%"
"2021年07月27日","27,970.22","27,911.93","28,036.23","27,862.69","517.00M","0.49%"
"2021年07月26日","27,833.29","27,990.47","28,036.47","27,786.44","545.42M","1.04%"
"2021年07月21日","27,548.00","27,747.06","27,882.43","27,438.07","514.11M","0.58%"
"2021年07月20日","27,388.16","27,351.80","27,564.52","27,330.15","630.10M","-0.96%"
"2021年07月19日","27,652.74","27,663.40","27,792.52","27,493.63","498.79M","-1.25%"
"2021年07月16日","28,003.08","28,039.26","28,201.30","27,847.35","503.83M","-0.98%"
"2021年07月15日","28,279.09","28,539.32","28,571.72","28,240.21","532.04M","-1.15%"
"2021年07月14日","28,608.49","28,517.31","28,696.80","28,482.82","548.27M","-0.38%"
"2021年07月13日","28,718.24","28,713.82","28,852.31","28,699.04","497.93M","0.52%"
"2021年07月12日","28,569.02","28,412.70","28,595.12","28,405.60","555.42M","2.25%"
"2021年07月09日","27,940.42","27,739.42","28,000.02","27,419.40","823.23M","-0.63%"
"2021年07月08日","28,118.03","28,332.63","28,366.76","28,118.03","622.20M","-0.88%"
"2021年07月07日","28,366.95","28,262.40","28,434.99","28,161.75","603.36M","-0.96%"
"2021年07月06日","28,643.21","28,677.95","28,748.23","28,587.61","417.42M","0.16%"
"2021年07月05日","28,598.19","28,709.57","28,731.07","28,581.08","384.61M","-0.64%"
"2021年07月02日","28,783.28","28,719.24","28,849.32","28,688.63","474.72M","0.27%"
"2021年07月01日","28,707.04","28,832.41","28,833.17","28,624.80","458.89M","-0.29%"
"2021年06月30日","28,791.53","28,896.31","28,998.99","28,779.76","539.68M","-0.07%"
"2021年06月29日","28,812.61","28,927.44","28,951.68","28,735.55","597.27M","-0.81%"
"2021年06月28日","29,048.02","29,112.66","29,121.28","28,984.93","476.82M","-0.06%"
"2021年06月25日","29,066.18","29,137.30","29,174.17","28,992.74","515.61M","0.66%"
"2021年06月24日","28,875.23","28,811.82","28,935.34","28,758.37","446.19M","0.00%"
"2021年06月23日","28,874.89","28,886.92","29,007.83","28,860.06","510.55M","-0.03%"
"2021年06月22日","28,884.13","28,513.07","28,895.26","28,494.46","677.73M","3.12%"
"2021年06月21日","28,010.93","28,506.84","28,506.84","27,795.86","758.20M","-3.29%"
"2021年06月18日","28,964.08","29,136.74","29,136.74","28,957.98","902.16M","-0.19%"
"2021年06月17日","29,018.33","29,149.34","29,197.68","28,875.39","568.70M","-0.93%"
"2021年06月16日","29,291.01","29,306.14","29,434.10","29,263.72","524.10M","-0.51%"
"2021年06月15日","29,441.30","29,256.03","29,480.85","29,235.71","530.41M","0.96%"
"2021年06月14日","29,161.80","29,153.11","29,208.35","29,026.27","450.30M","0.74%"
"2021年06月11日","28,948.73","29,030.04","29,080.89","28,839.54","710.66M","-0.03%"
"2021年06月10日","28,958.56","28,799.74","29,007.53","28,799.74","533.39M","0.34%"
"2021年06月09日","28,860.80","28,901.56","28,932.03","28,801.83","503.98M","-0.35%"
"2021年06月08日","28,963.56","29,046.03","29,140.68","28,897.64","504.18M","-0.19%"
"2021年06月07日","29,019.24","29,214.00","29,241.20","28,973.05","509.56M","0.27%"
"2021年06月04日","28,941.52","28,901.42","28,991.24","28,764.68","557.89M","-0.40%"
"2021年06月03日","29,058.11","28,890.39","29,157.16","28,879.15","585.37M","0.39%"
"2021年06月02日","28,946.14","28,730.81","29,003.55","28,565.83","710.02M","0.46%"
"2021年06月01日","28,814.34","28,998.65","29,075.47","28,611.25","473.77M","-0.16%"
"2021年05月31日","28,860.08","29,019.45","29,147.71","28,791.60","537.88M","-0.99%"
"2021年05月28日","29,149.41","28,912.54","29,194.11","28,899.66","805.70M","2.10%"
"2021年05月27日","28,549.01","28,543.32","28,587.21","28,360.56","1.38B","-0.33%"
"2021年05月26日","28,642.19","28,396.62","28,710.83","28,396.62","641.63M","0.31%"
"2021年05月25日","28,553.98","28,516.99","28,576.97","28,443.74","539.91M","0.67%"
"2021年05月24日","28,364.61","28,212.32","28,584.18","28,212.32","546.71M","0.17%"
"2021年05月21日","28,317.83","28,269.61","28,411.56","28,193.03","586.64M","0.78%"
"2021年05月20日","28,098.25","27,875.50","28,176.87","27,821.96","568.20M","0.19%"
"2021年05月19日","28,044.45","28,031.22","28,216.65","27,842.98","686.80M","-1.28%"
"2021年05月18日","28,406.84","27,931.57","28,481.17","27,931.57","746.56M","2.09%"
"2021年05月17日","27,824.83","28,310.46","28,312.78","27,632.53","638.82M","-0.92%"
"2021年05月14日","28,084.47","27,723.70","28,139.96","27,723.70","735.40M","2.32%"
"2021年05月13日","27,448.01","27,929.01","27,961.96","27,385.03","804.89M","-2.49%"
"2021年05月12日","28,147.51","28,712.10","28,831.03","27,888.59","899.92M","-1.61%"
"2021年05月11日","28,608.59","29,238.56","29,289.12","28,535.36","731.70M","-3.08%"
"2021年05月10日","29,518.34","29,376.89","29,685.41","29,346.14","662.98M","0.55%"
"2021年05月07日","29,357.82","29,330.45","29,449.86","29,237.36","675.50M","0.09%"
"2021年05月06日","29,331.37","29,024.01","29,430.22","28,966.47","943.04M","1.80%"
"2021年04月30日","28,812.63","28,996.66","29,046.49","28,760.27","783.83M","-0.83%"
"2021年04月28日","29,053.97","28,935.51","29,139.70","28,875.91","614.23M","0.21%"
"2021年04月27日","28,991.89","29,174.53","29,187.11","28,990.19","594.24M","-0.46%"
"2021年04月26日","29,126.23","29,095.49","29,241.28","28,896.37","492.02M","0.36%"
"2021年04月23日","29,020.63","28,939.12","29,035.34","28,770.62","474.50M","-0.57%"
"2021年04月22日","29,188.17","28,880.78","29,192.39","28,800.86","550.71M","2.38%"
"2021年04月21日","28,508.55","28,660.36","28,778.93","28,419.84","709.98M","-2.03%"
"2021年04月20日","29,100.38","29,355.87","29,361.28","29,014.36","598.82M","-1.97%"
"2021年04月19日","29,685.37","29,688.32","29,808.01","29,530.84","446.99M","0.01%"
"2021年04月16日","29,683.37","29,789.08","29,789.08","29,621.83","490.83M","0.14%"
"2021年04月15日","29,642.69","29,573.90","29,787.66","29,558.55","506.21M","0.07%"
"2021年04月14日","29,620.99","29,718.06","29,722.40","29,567.18","571.69M","-0.44%"
"2021年04月13日","29,751.61","29,605.69","29,897.11","29,573.79","548.88M","0.72%"
"2021年04月12日","29,538.73","29,874.43","29,876.04","29,538.73","501.94M","-0.77%"
"2021年04月09日","29,768.06","29,865.53","30,064.35","29,768.06","648.75M","0.20%"
"2021年04月08日","29,708.98","29,675.88","29,744.79","29,516.42","625.99M","-0.07%"
"2021年04月07日","29,730.79","29,743.48","29,867.94","29,523.55","615.39M","0.12%"
"2021年04月06日","29,696.63","30,208.89","30,208.89","29,665.86","655.22M","-1.30%"
"2021年04月05日","30,089.25","30,084.61","30,195.00","30,024.25","553.63M","0.79%"
"2021年04月02日","29,854.00","29,704.66","29,869.67","29,694.09","571.99M","1.58%"
"2021年04月01日","29,388.87","29,441.91","29,585.46","29,318.82","756.39M","0.72%"
"2021年03月31日","29,178.80","29,278.33","29,348.99","29,165.52","820.05M","-0.86%"
"2021年03月30日","29,432.70","29,365.04","29,478.20","29,283.89","798.78M","0.16%"
"2021年03月29日","29,384.52","29,478.12","29,578.37","29,200.88","1.08B","0.71%"
"2021年03月26日","29,176.70","29,068.52","29,240.74","28,953.22","736.54M","1.56%"
"2021年03月25日","28,729.88","28,457.33","28,821.83","28,414.92","728.19M","1.14%"
"2021年03月24日","28,405.52","28,765.55","28,867.67","28,379.06","959.88M","-2.04%"
"2021年03月23日","28,995.92","29,381.49","29,496.83","28,995.92","792.03M","-0.61%"
"2021年03月22日","29,174.15","29,444.10","29,472.98","29,107.63","788.14M","-2.07%"
"2021年03月19日","29,792.05","29,904.57","30,049.77","29,621.22","1.29B","-1.41%"
"2021年03月18日","30,216.75","30,148.48","30,485.00","30,041.50","953.91M","1.01%"
"2021年03月17日","29,914.33","29,836.83","29,984.97","29,825.16","746.26M","-0.02%"
"2021年03月16日","29,921.09","29,770.39","30,026.40","29,755.47","837.53M","0.52%"
"2021年03月15日","29,766.97","29,804.50","29,884.73","29,670.31","940.73M","0.17%"
"2021年03月12日","29,717.83","29,287.74","29,744.32","29,210.40","966.36M","1.73%"
"2021年03月11日","29,211.64","29,033.92","29,255.42","28,995.33","784.58M","0.60%"
"2021年03月10日","29,036.56","29,118.28","29,233.47","28,960.09","830.16M","0.03%"
"2021年03月09日","29,027.94","28,748.87","29,053.56","28,609.21","967.25M","0.99%"
"2021年03月08日","28,743.25","29,208.19","29,255.90","28,644.26","923.78M","-0.42%"
"2021年03月05日","28,864.32","28,725.48","28,867.83","28,308.57","857.75M","-0.23%"
"2021年03月04日","28,930.11","29,198.42","29,277.19","28,711.04","751.88M","-2.13%"
"2021年03月03日","29,559.10","29,482.12","29,604.37","29,336.60","688.12M","0.51%"
"2021年03月02日","29,408.17","29,939.75","29,996.39","29,314.82","701.35M","-0.86%"
"2021年03月01日","29,663.50","29,419.45","29,686.39","29,396.04","626.60M","2.41%"
"2021年02月26日","28,966.01","29,753.73","29,760.31","28,966.01","929.34M","-3.99%"
"2021年02月25日","30,168.27","30,077.27","30,213.28","30,044.43","700.55M","1.67%"
"2021年02月24日","29,671.70","30,020.11","30,089.59","29,671.70","792.90M","-1.61%"
"2021年02月22日","30,156.03","30,281.78","30,458.13","30,089.18","628.04M","0.46%"
"2021年02月19日","30,017.92","29,970.59","30,169.59","29,847.33","637.49M","-0.72%"
"2021年02月18日","30,236.09","30,311.98","30,560.49","30,140.01","779.35M","-0.19%"
"2021年02月17日","30,292.19","30,366.82","30,398.20","30,191.01","747.81M","-0.58%"
"2021年02月16日","30,467.75","30,229.46","30,714.52","30,191.65","812.60M","1.28%"
"2021年02月15日","30,084.15","29,662.41","30,092.34","29,662.41","703.36M","1.91%"
"2021年02月12日","29,520.07","29,635.88","29,650.51","29,417.32","797.95M","-0.14%"
"2021年02月10日","29,562.93","29,412.55","29,562.93","29,368.18","811.10M","0.19%"
"2021年02月09日","29,505.93","29,435.61","29,585.75","29,350.48","868.79M","0.40%"
"2021年02月08日","29,388.50","28,831.58","29,400.56","28,817.60","935.74M","2.12%"
"2021年02月05日","28,779.19","28,631.46","28,785.71","28,548.27","931.94M","1.54%"
"2021年02月04日","28,341.95","28,557.46","28,600.22","28,325.89","810.88M","-1.06%"
"2021年02月03日","28,646.50","28,482.71","28,669.95","28,402.30","839.84M","1.00%"
"2021年02月02日","28,362.17","28,207.48","28,379.31","28,089.12","675.37M","0.97%"
"2021年02月01日","28,091.05","27,649.07","28,107.10","27,649.07","656.89M","1.55%"
"2021年01月29日","27,663.39","28,320.72","28,320.72","27,629.80","917.38M","-1.89%"
"2021年01月28日","28,197.42","28,169.27","28,360.48","27,975.85","1.24B","-1.53%"
"2021年01月27日","28,635.21","28,665.34","28,754.99","28,542.00","690.16M","0.31%"
"2021年01月26日","28,546.18","28,696.30","28,740.71","28,527.81","634.87M","-0.96%"
"2021年01月25日","28,822.29","28,698.89","28,822.29","28,566.85","573.49M","0.67%"
"2021年01月22日","28,631.45","28,580.20","28,698.18","28,527.16","669.45M","-0.44%"
"2021年01月21日","28,756.86","28,710.41","28,846.15","28,677.61","676.62M","0.82%"
"2021年01月20日","28,523.26","28,798.74","28,801.19","28,402.11","697.92M","-0.38%"
"2021年01月19日","28,633.46","28,405.49","28,720.91","28,373.34","581.76M","1.39%"
"2021年01月18日","28,242.21","28,238.68","28,349.97","28,111.54","519.15M","-0.97%"
"2021年01月15日","28,519.18","28,777.47","28,820.50","28,477.03","741.16M","-0.62%"
"2021年01月14日","28,698.26","28,442.73","28,979.53","28,411.58","819.13M","0.85%"
"2021年01月13日","28,456.59","28,140.10","28,503.43","28,133.59","708.57M","1.04%"
"2021年01月12日","28,164.34","28,004.37","28,287.37","27,899.45","788.40M","0.09%"
"2021年01月08日","28,139.03","27,720.14","28,139.03","27,667.75","848.72M","2.36%"
"2021年01月07日","27,490.13","27,340.46","27,624.73","27,340.46","988.56M","1.60%"
"2021年01月06日","27,055.94","27,102.85","27,196.40","27,002.18","726.61M","-0.38%"
"2021年01月05日","27,158.63","27,151.38","27,279.78","27,073.46","550.01M","-0.37%"
"2021年01月04日","27,258.38","27,575.57","27,602.11","27,042.32","515.06M","-0.68%"
"2020年12月30日","27,444.17","27,559.10","27,572.57","27,338.56","505.87M","-0.45%"
"2020年12月29日","27,568.15","26,936.38","27,602.52","26,921.14","594.33M","2.66%"
"2020年12月28日","26,854.03","26,691.29","26,854.03","26,664.60","506.67M","0.74%"
"2020年12月25日","26,656.61","26,708.10","26,716.61","26,638.28","333.99M","-0.04%"
"2020年12月24日","26,668.35","26,635.11","26,764.53","26,605.26","479.33M","0.54%"
"2020年12月23日","26,524.79","26,580.43","26,585.21","26,414.74","560.12M","0.33%"
"2020年12月22日","26,436.39","26,559.33","26,639.99","26,361.66","586.45M","-1.04%"
"2020年12月21日","26,714.42","26,834.10","26,905.67","26,533.63","607.19M","-0.18%"
"2020年12月18日","26,763.39","26,775.53","26,824.29","26,707.30","737.84M","-0.16%"
"2020年12月17日","26,806.67","26,744.50","26,843.05","26,676.28","614.94M","0.18%"
"2020年12月16日","26,757.40","26,835.59","26,874.98","26,717.03","613.31M","0.26%"
"2020年12月15日","26,687.84","26,683.11","26,736.84","26,605.54","593.32M","-0.17%"
"2020年12月14日","26,732.44","26,659.53","26,870.47","26,648.69","599.61M","0.30%"
"2020年12月11日","26,652.52","26,732.85","26,819.41","26,553.01","748.74M","-0.39%"
"2020年12月10日","26,756.24","26,688.50","26,852.77","26,639.98","692.46M","-0.23%"
"2020年12月09日","26,817.94","26,526.34","26,826.78","26,520.60","618.49M","1.33%"
"2020年12月08日","26,467.08","26,380.32","26,523.30","26,327.08","550.56M","-0.30%"
"2020年12月07日","26,547.44","26,894.25","26,894.25","26,500.32","615.83M","-0.76%"
"2020年12月04日","26,751.24","26,697.26","26,799.83","26,646.08","616.22M","-0.22%"
"2020年12月03日","26,809.37","26,740.30","26,868.09","26,719.23","694.76M","0.03%"
"2020年12月02日","26,800.98","26,884.99","26,889.90","26,695.28","801.85M","0.05%"
"2020年12月01日","26,787.54","26,624.20","26,852.16","26,618.39","732.39M","1.34%"
"2020年11月30日","26,433.62","26,830.10","26,834.20","26,405.83","1.48B","-0.79%"
"2020年11月27日","26,644.71","26,530.28","26,672.40","26,419.05","862.27M","0.40%"
"2020年11月26日","26,537.31","26,255.47","26,560.03","26,255.47","635.48M","0.91%"
"2020年11月25日","26,296.86","26,468.52","26,706.42","26,258.35","925.23M","0.50%"
"2020年11月24日","26,165.59","25,901.45","26,261.78","25,901.45","817.07M","2.50%"
"2020年11月20日","25,527.37","25,486.83","25,555.37","25,425.59","634.29M","-0.42%"
"2020年11月19日","25,634.34","25,628.73","25,650.86","25,474.94","820.38M","-0.36%"
"2020年11月18日","25,728.14","25,860.55","25,882.14","25,656.70","692.44M","-1.10%"
"2020年11月17日","26,014.62","26,043.45","26,057.30","25,851.54","848.29M","0.42%"
"2020年11月16日","25,906.93","25,652.69","25,928.18","25,640.29","849.36M","2.05%"
"2020年11月13日","25,385.87","25,405.64","25,456.18","25,215.31","775.85M","-0.53%"
"2020年11月12日","25,520.88","25,439.35","25,587.96","25,316.60","805.33M","0.68%"
"2020年11月11日","25,349.60","25,145.66","25,401.30","25,145.66","1.02B","1.78%"
"2020年11月10日","24,905.59","25,087.30","25,279.94","24,833.18","1.28B","0.26%"
"2020年11月09日","24,839.84","24,568.84","24,962.80","24,541.28","670.16M","2.12%"
"2020年11月06日","24,325.23","24,076.22","24,389.00","24,039.16","731.90M","0.91%"
"2020年11月05日","24,105.28","23,776.20","24,112.42","23,756.78","786.18M","1.73%"
"2020年11月04日","23,695.23","23,619.58","23,801.88","23,505.78","816.07M","1.72%"
"2020年11月02日","23,295.48","23,110.74","23,370.91","23,096.79","697.47M","1.39%"
"2020年10月30日","22,977.13","23,320.71","23,320.71","22,948.47","766.81M","-1.52%"
"2020年10月29日","23,331.94","23,170.76","23,374.10","23,170.76","575.16M","-0.37%"
"2020年10月28日","23,418.51","23,372.61","23,451.03","23,334.23","671.40M","-0.29%"
"2020年10月27日","23,485.80","23,376.96","23,485.80","23,232.31","526.86M","-0.04%"
"2020年10月26日","23,494.34","23,520.78","23,572.60","23,475.52","416.95M","-0.09%"
"2020年10月23日","23,516.59","23,558.71","23,587.90","23,469.13","492.25M","0.18%"
"2020年10月22日","23,474.27","23,525.59","23,555.78","23,436.17","448.66M","-0.70%"
"2020年10月21日","23,639.46","23,615.52","23,702.30","23,611.33","533.29M","0.31%"
"2020年10月20日","23,567.04","23,587.87","23,674.87","23,518.29","486.74M","-0.44%"
"2020年10月19日","23,671.13","23,543.69","23,707.16","23,543.69","462.73M","1.11%"
"2020年10月16日","23,410.63","23,478.40","23,538.74","23,382.67","481.27M","-0.41%"
